==16543== NVPROF is profiling process 16543, command: ./mbnet
==16543== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==16543== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==16543== Profiling application: ./mbnet
==16543== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
6.10546s  1.6960us                    -               -         -         -         -      112B  62.978MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
11.1677s  1.8560us                    -               -         -         -         -      384B  197.31MB/s      Device           -  NVIDIA Tegra X2         1        23  [CUDA memset]
11.1677s     224ns                    -               -         -         -         -      384B  1.5966GB/s      Device           -  NVIDIA Tegra X2         1        24  [CUDA memset]
11.1677s     160ns                    -               -         -         -         -      384B  2.2352GB/s      Device           -  NVIDIA Tegra X2         1        25  [CUDA memset]
11.1678s     256ns                    -               -         -         -         -      384B  1.3970GB/s      Device           -  NVIDIA Tegra X2         1        26  [CUDA memset]
11.1686s  1.2800us                    -               -         -         -         -      112B  83.447MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
11.1690s     320ns                    -               -         -         -         -      112B  333.79MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
11.1725s  26.016us                    -               -         -         -         -  768.00KB  28.153GB/s      Device           -  NVIDIA Tegra X2         1         7  [CUDA memset]
11.1734s  467.05us            (256 1 1)       (256 1 1)        34  16.250KB        0B         -           -           -           -  NVIDIA Tegra X2         1        14  void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<unsigned char=0, unsigned char=1, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<unsigned char=1, unsigned char=0, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig2DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, int=2, int=64, int=64, int=256, char=4, bool=0, bool=1, bool=1, bool=1, bool=0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<float, float, float, float>::Params>(unsigned int=4) [758]
11.1745s  469.22us            (256 1 1)       (256 1 1)        34  16.250KB        0B         -           -           -           -  NVIDIA Tegra X2         1        14  void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<unsigned char=0, unsigned char=1, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<unsigned char=1, unsigned char=0, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig2DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, int=2, int=64, int=64, int=256, char=4, bool=0, bool=1, bool=1, bool=1, bool=0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<float, float, float, float>::Params>(unsigned int=4) [766]
