==16816== NVPROF is profiling process 16816, command: ./mbnet
==16816== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==16816== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==16816== Profiling application: ./mbnet
==16816== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
4.65173s  2.8800us                    -               -         -         -         -      112B  37.087MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
7.75833s  3.6800us                    -               -         -         -         -      384B  99.514MB/s      Device           -  NVIDIA Tegra X2         1        23  [CUDA memset]
7.75834s     832ns                    -               -         -         -         -      384B  440.16MB/s      Device           -  NVIDIA Tegra X2         1        24  [CUDA memset]
7.75834s     928ns                    -               -         -         -         -      384B  394.62MB/s      Device           -  NVIDIA Tegra X2         1        25  [CUDA memset]
7.75834s     928ns                    -               -         -         -         -      384B  394.62MB/s      Device           -  NVIDIA Tegra X2         1        26  [CUDA memset]
7.75960s  2.7200us                    -               -         -         -         -      112B  39.269MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
7.75970s     640ns                    -               -         -         -         -      112B  166.89MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
7.76268s  21.345us                    -               -         -         -         -  230.00KB  10.276GB/s      Device           -  NVIDIA Tegra X2         1         7  [CUDA memset]
7.76439s  503.56us             (77 1 1)       (256 1 1)        34  16.250KB        0B         -           -           -           -  NVIDIA Tegra X2         1        14  void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<unsigned char=0, unsigned char=1, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<unsigned char=1, unsigned char=0, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig2DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, int=2, int=64, int=64, int=256, char=4, bool=0, bool=1, bool=1, bool=1, bool=0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<float, float, float, float>::Params>(unsigned int=4) [758]
7.76587s  492.65us             (77 1 1)       (256 1 1)        34  16.250KB        0B         -           -           -           -  NVIDIA Tegra X2         1        14  void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<unsigned char=0, unsigned char=1, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<unsigned char=1, unsigned char=0, bool=0, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig2DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, int=2, int=64, int=64, int=256, char=4, bool=0, bool=1, bool=1, bool=1, bool=0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<float, float, float, float>::Params>(unsigned int=4) [766]
