==16047== NVPROF is profiling process 16047, command: ./mbnet
==16047== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==16047== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==16047== Profiling application: ./mbnet
==16047== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
10.6671s  1.4400us                    -               -         -         -         -      112B  74.175MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
14.7067s  2.3680us                    -               -         -         -         -      384B  154.65MB/s      Device           -  NVIDIA Tegra X2         1        23  [CUDA memset]
14.7067s     288ns                    -               -         -         -         -      384B  1.2418GB/s      Device           -  NVIDIA Tegra X2         1        24  [CUDA memset]
14.7067s     288ns                    -               -         -         -         -      384B  1.2418GB/s      Device           -  NVIDIA Tegra X2         1        25  [CUDA memset]
14.7068s     160ns                    -               -         -         -         -      384B  2.2352GB/s      Device           -  NVIDIA Tegra X2         1        26  [CUDA memset]
14.7076s  1.2800us                    -               -         -         -         -      112B  83.447MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
14.7078s     320ns                    -               -         -         -         -      112B  333.79MB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
14.7099s  1.3120us                    -               -         -         -         -  32.000KB  23.260GB/s      Device           -  NVIDIA Tegra X2         1         7  [CUDA memset]
14.7114s  17.761us             (16 1 1)        (64 1 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X2         1        14  void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<unsigned char=0, unsigned char=1, bool=1, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<unsigned char=0, unsigned char=1, bool=1, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig1DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, int=1, int=256, int=1, int=64, char=4, bool=1, bool=0, bool=1, bool=1, bool=0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<float, float, float, float>::Params>(unsigned int=4) [758]
14.7149s  6.0800us             (16 1 1)        (64 1 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X2         1        14  void CUTENSOR_NAMESPACE::permutationKernelPLC3<CUTENSOR_NAMESPACE::VectorWrite2DTensorView<unsigned char=0, unsigned char=1, bool=1, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::VectorRead2DTensorView<unsigned char=0, unsigned char=1, bool=1, unsigned int=4, float, float, CUTENSOR_NAMESPACE::GeneralUnarySmall<float>>, CUTENSOR_NAMESPACE::ThreadLevelElementwise<CUTENSOR_NAMESPACE::ElementwiseConfig1DCommonCase<CUTENSOR_NAMESPACE::GeneralUnarySmall<float>, CUTENSOR_NAMESPACE::GeneralBinary<float>, int=1, int=256, int=1, int=64, char=4, bool=1, bool=0, bool=1, bool=1, bool=0>, float>, CUTENSOR_NAMESPACE::ElementwiseRuntimePLC3<float, float, float, float>::Params>(unsigned int=4) [766]
