==22035== NVPROF is profiling process 22035, command: ./mbnet
==22035== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22035== Profiling application: ./mbnet
==22035== Profiling result:
==22035== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 (0)"
    Kernel: convolution_naive(float[256][256]*, float[5][5][1]*, float[252][252]*)
          1                             inst_per_warp                                 Instructions per warp  181.000000  181.000000  181.000000
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency     100.00%     100.00%     100.00%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000342    0.000342    0.000342
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   14.444435   14.444435   14.444435
          1              gst_transactions_per_request                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions    12900325    12900325    12900325
          1                          gst_transactions                             Global Store Transactions      571584      571584      571584
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           7           7           7
          1                      l2_read_transactions                                  L2 Read Transactions     6003657     6003657     6003657
          1                     l2_write_transactions                                 L2 Write Transactions      571617      571617      571617
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      53.46%      53.46%      53.46%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  11.829GB/s  11.829GB/s  11.829GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  1.1262GB/s  1.1262GB/s  1.1262GB/s
          1                            gld_throughput                                Global Load Throughput  94.634GB/s  94.634GB/s  94.634GB/s
          1                            gst_throughput                               Global Store Throughput  9.0098GB/s  9.0098GB/s  9.0098GB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      51.19%      51.19%      51.19%
          1                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      99.89%      99.89%      99.89%
          1                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)      66.59%      66.59%      66.59%
          1                      tex_cache_throughput                              Unified Cache Throughput  56.311GB/s  56.311GB/s  56.311GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  94.634GB/s  94.634GB/s  94.634GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  9.0098GB/s  9.0098GB/s  9.0098GB/s
