==23093== NVPROF is profiling process 23093, command: ./mbnet
==23093== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23093== Profiling application: ./mbnet
==23093== Profiling result:
==23093== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       6.62%       6.62%       6.62%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)       0.87%       0.87%       0.87%
          1                             stall_texture                         Issue Stall Reasons (Texture)      33.89%      33.89%      33.89%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)      57.33%      57.33%      57.33%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.01%       0.01%       0.01%
          1                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                                inst_fp_32                               FP Instructions(Single)     3763200     3763200     3763200
          1                                inst_fp_64                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                  Integer Instructions     2709504     2709504     2709504
          1                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
          1                              inst_control                             Control-Flow Instructions      150528      150528      150528
          1                        inst_compute_ld_st                               Load/Store Instructions     7551488     7551488     7551488
          1                                 inst_misc                                     Misc Instructions     2834944     2834944     2834944
          1           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                           Issue Slots      433483      433483      433483
          1                                 cf_issued                      Issued Control-Flow Instructions        5488        5488        5488
          1                               cf_executed                    Executed Control-Flow Instructions        5488        5488        5488
          1                               ldst_issued                        Issued Load/Store Instructions      945504      945504      945504
          1                             ldst_executed                      Executed Load/Store Instructions      237552      237552      237552
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)     3880800     3880800     3880800
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.65%       0.65%       0.65%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.01%       0.01%       0.01%
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)       25088       25088       25088
          1                             flop_count_hp             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                 HP Instructions(Half)           0           0           0
          1                   sysmem_read_utilization                        System Memory Read Utilization     Low (1)     Low (1)     Low (1)
          1                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1                             sm_efficiency                               Multiprocessor Activity      97.95%      97.95%      97.95%
          1                        achieved_occupancy                                    Achieved Occupancy    0.881247    0.881247    0.881247
          1                                       ipc                                          Executed IPC    0.092905    0.092905    0.092905
          1                                issued_ipc                                            Issued IPC    0.093030    0.093030    0.093030
          1                    issue_slot_utilization                                Issue Slot Utilization       1.89%       1.89%       1.89%
          1                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    0.084185    0.084185    0.084185
          1                           tex_utilization                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                            l2_utilization                                  L2 Cache Utilization     Low (3)     Low (3)     Low (3)
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        flop_hp_efficiency                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.50%       0.50%       0.50%
          1                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                    dram_read_transactions                       Device Memory Read Transactions        1454        1454        1454
          1                   dram_write_transactions                      Device Memory Write Transactions        2718        2718        2718
          1                      dram_read_throughput                         Device Memory Read Throughput  62.290MB/s  62.290MB/s  62.290MB/s
          1                     dram_write_throughput                        Device Memory Write Throughput  116.44MB/s  116.44MB/s  116.44MB/s
          1                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1             half_precision_fu_utilization              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                          ecc_transactions                                      ECC Transactions           0           0           0
          1                            ecc_throughput                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
