==22493== NVPROF is profiling process 22493, command: ./mbnet
==22493== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22493== Profiling application: ./mbnet
==22493== Profiling result:
==22493== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 (0)"
    Kernel: convolution_naive(float[32][32]*, float[5][5][3]*, float[28][28]*)
          1                             inst_per_warp                                 Instructions per warp  382.000000  382.000000  382.000000
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      99.74%      99.74%      99.74%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.004127    0.004127    0.004127
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   18.000000   18.000000   18.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions     1058400     1058400     1058400
          1                          gst_transactions                             Global Store Transactions       12544       12544       12544
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                  L2 Read Transactions      529392      529392      529392
          1                     l2_write_transactions                                 L2 Write Transactions       12557       12557       12557
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  17.301GB/s  17.301GB/s  17.301GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  419.94MB/s  419.94MB/s  419.94MB/s
          1                            gld_throughput                                Global Load Throughput  138.41GB/s  138.41GB/s  138.41GB/s
          1                            gst_throughput                               Global Store Throughput  3.2808GB/s  3.2808GB/s  3.2808GB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      49.41%      49.41%      49.41%
          1                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      99.90%      99.90%      99.90%
          1                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)      96.88%      96.88%      96.88%
          1                      tex_cache_throughput                              Unified Cache Throughput  61.515GB/s  61.515GB/s  61.515GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  138.41GB/s  138.41GB/s  138.41GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  3.2808GB/s  3.2808GB/s  3.2808GB/s
          1                        l2_read_throughput                                 L2 Throughput (Reads)  138.46GB/s  138.46GB/s  138.46GB/s
          1                       l2_write_throughput                                L2 Throughput (Writes)  3.2842GB/s  3.2842GB/s  3.2842GB/s
          1                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                        System Memory Write Throughput  1.3391MB/s  1.3391MB/s  1.3391MB/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                        Global Memory Store Efficiency      12.50%      12.50%      12.50%
          1                    tex_cache_transactions                            Unified Cache Transactions      235200      235200      235200
          1                             flop_count_dp           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp           Floating Point Operations(Single Precision)     1881600     1881600     1881600
          1                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)      940800      940800      940800
          1                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                 Instructions Executed      149744      149744      149744
          1                               inst_issued                                   Instructions Issued      150415      150415      150415
          1                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       0.38%       0.38%       0.38%
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       7.09%       7.09%       7.09%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)       1.57%       1.57%       1.57%
          1                             stall_texture                         Issue Stall Reasons (Texture)      34.25%      34.25%      34.25%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)      55.39%      55.39%      55.39%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.10%       0.10%       0.10%
